AR1,AR2,AR3,AR4
-94.937281,38.811119,325.7539906,79.0434519964027
-94.948953,38.811095,318.6799728,80.0548241805049
-94.960097,38.811119,315.3861654,81.0204004118633
-94.973572,38.811161,327.6543123,82.1879556200662
-94.983032,38.811162,317.3528,83.0076181914319
-94.994666,38.811198,318.1104,84.0156854062955
-95.010249,38.811261,320.3091026,85.3659129631571
-95.018242,38.811316,326.2624,86.0584989146863
-95.019047,38.81938,321.5244,87.0252516906519
-95.019018,38.828544,304.4229043,88.0442798966714
-95.018957,38.839069,298.5105877,89.2146298977708
-95.018945,38.847706,305.202,90.1750265645675
-95.018979,38.855404,301.3686074,91.0310153422726
-95.018938,38.86454,296.1159808,92.0469101307207
-95.028275,38.869563,293.809228,93.4085763028157
-95.036706,38.869599,280.2544,94.1384915502872
-95.04696,38.869579,294.9128,95.0262311967728
-95.0607,38.869577,288.5228,96.2157959728442
-95.072611,38.869568,288.2892,97.2469777495095
-95.083742,38.869554,289.3621587,98.210631958027
-95.09328,38.869538,276.9302656,99.0363753035811
-95.093319,38.884104,276.174,100.656044158032
-95.099317,38.884131,265.7390901,101.175215981497
-95.109197,38.884107,270.3438562,102.030401722688
-95.122913,38.884147,281.5576,103.21762525705
-95.13197,38.884176,290.9229824,104.001618601095
-95.14434,38.884204,291.2685312,105.072321219538
-95.156279,38.884251,266.8512875,106.105733443084
-95.167865,38.88432,281.166656,107.108598754193
-95.184182,38.884361,264.9336717,108.52093728883
-95.191129,38.884388,259.3058278,109.122249605602
-95.205332,38.88446,255.7317376,110.351653764446
-95.2139,38.88448,267.54688,111.093270172224
-95.226075,38.884527,283.241528,112.147101568727
-95.236677,38.884572,271.6322822,113.064788244014
-95.24942,38.88453,272.813792,114.167784039278
-95.257795,38.885831,273.9306416,115.013580044259
-95.260366,38.894733,271.2664771,116.039829443467
-95.260406,38.904156,260.4793254,117.087657617907
-95.26045,38.9136,257.5048,118.137807484964
-95.262718,38.92022,265.1560384,119.137008709587
-95.273048,38.920465,253.9670016,120.041173217518
-95.284656,38.924573,255.0211891,121.144596258323
-95.294175,38.927969,255.707096,122.050492560283
-95.303503,38.93231,257.1229872,123.001959809502
-95.310503,38.939576,268.0455949,124.011617658651
-95.322071,38.942077,289.8407754,125.100200772355
-95.332628,38.942644,293.7563213,126.018844372252
-95.335538,38.953536,293.1909107,127.471871679311
-95.334348,38.958404,284.968983,128.022898879207
-95.334206,38.967444,308.2016,129.029584691743
-95.340485,38.971393,326,130.098523890854
-95.353483,38.971238,318.2926762,131.222350316079
-95.36258,38.971317,332.8538624,132.008833776102
-95.372521,38.973867,317.6116427,133.020986560157
-95.372571,38.983635,313.6803816,134.107147207841
-95.379239,38.989776,326.7396,135.058714375273
-95.389268,38.99305,324.027104,136.005958791207
-95.400369,38.995561,340.0392,137.058600723154
-95.409634,38.998159,345,138.003253088857
-95.420977,39.00026,338.6439008,139.030322454583
-95.434879,39.000456,344.2812,140.232683428733
-95.446083,39.003499,340.3432443,141.274224567492
-95.455117,39.005809,337.1244971,142.09682500827
-95.465287,39.008194,338.0134531,143.020161265805
-95.476167,39.011155,343.2126104,144.016260570784
-95.489827,39.013502,341.77,145.228571351471
-95.498481,39.014755,326.9930136,146.015093431261
-95.501342,39.023562,334.1618438,147.062872976279
-95.508123,39.029444,341.2412,148.131290068322
-95.519984,39.029426,318.9473754,149.155830694055
-95.528997,39.030926,307.2216,150.004025842447
-95.534969,39.038345,303.7670872,151.013272451414
-95.542823,39.044135,273.772,152.006423024747
-95.554473,39.04424,293.8116608,153.012661434101
-95.56642,39.044322,288.8386304,154.044895618951
-95.579838,39.044237,282.9104,155.203979460638
-95.590602,39.044267,274.7224,156.133572877079
-95.600811,39.044298,289.4588131,157.01526343437
-95.612288,39.044288,291.1104,158.006534701584
-95.625768,39.044255,295.2352,159.171621109803
-95.635802,39.044245,272.7498096,160.038180938135
-95.647347,39.044932,279,161.04724023979
-95.658911,39.04795,275.030248,162.100765763442
-95.665639,39.043339,276.8277437,163.015736669803
-95.671267,39.037124,278.5703597,164.005772475081
-95.675887,39.038337,273.6029502,164.427210396827
