ER1,ER2,ER3,ER4
-108.362784,42.65917,1743.042931,209.034239571211
-108.371094,42.666063,1714.602669,210.069619257535
-108.38308,42.669181,1713.8452,211.114337908893
-108.393744,42.671245,1703.230589,212.015923638827
-108.405771,42.673629,1712,213.034322161578
-108.417705,42.676142,1726.304466,214.049187419488
-108.429372,42.67862,1744.779546,215.041953045246
-108.440297,42.683762,1767.632789,216.111145504009
-108.457592,42.69413,1798.161037,217.93523692665
-108.458356,42.694589,1797.957535,218.015881400578
-108.468411,42.700712,1780.8656,219.083028088887
-108.479892,42.703812,1762.16918,220.096654524087
-108.491656,42.703048,1752.985044,221.063106352431
-108.504183,42.701169,1747.8504,222.108312475652
-108.520799,42.699119,1737.1236,223.485743750767
-108.52795,42.698321,1734.514328,224.077064042599
-108.539608,42.69592,1729.808,225.085184271357
-108.552872,42.694584,1732.830428,226.239598910936
-108.562699,42.694199,1717.964,227.088760806877
-108.572943,42.694045,1702.172155,228.01684385413
-108.583586,42.698638,1708,229.050600638989
-108.595399,42.704691,1679.8876,230.236359564245
-108.602754,42.710246,1671.951615,231.100307520463
-108.610867,42.717246,1667.8288,232.122709668826
-108.619616,42.724833,1664.4212,233.228408940018
-108.627256,42.728998,1650.223436,234.019149120267
-108.639079,42.729242,1692.870009,235.007208909762
-108.647017,42.733802,1688.768903,236.071685534018
-108.648917,42.742048,1687.410527,237.001640311925
-108.651152,42.751465,1657.619133,238.064635973534
-108.652819,42.759965,1663.855302,239.019697340744
-108.655742,42.76922,1642.6712,240.079711346562
-108.662117,42.777367,1651.199783,241.127643970406
-108.669642,42.785118,1647.122682,242.185936285296
-108.675416,42.791201,1627.48787,243.010370215887
-108.682964,42.798416,1637.869911,244.02370526422
-108.693041,42.803449,1629.553019,245.019644733668
-108.703002,42.810097,1639.8912,246.125026087664
-108.710999,42.816773,1640.750898,247.113446987974
-108.717705,42.823417,1671.515714,248.040216754798
-108.723763,42.830916,1643.723128,249.028855478976
-108.735047,42.83396,1636.256,250.02141637819
-108.744877,42.837736,1639.539994,251.022282912025
-108.745873,42.84158,1632.579446,251.48090682528
