BR1,BR2,BR3,BR4
-96.862163,40.002414,435.1471933,198.024066322395
-96.859837,40.010944,432.3984,199.012766228266
-96.859658,40.020876,431.2716877,200.117354490747
-96.859634,40.02927,430.8570944,201.050754094858
-96.859631,40.038198,422.3284,202.043519911652
-96.862238,40.045064,410.5176,203.078748296317
-96.874291,40.044919,423.3478798,204.106585253187
-96.887597,40.045509,430.7429259,205.243844848413
-96.896652,40.045436,435.4867251,206.014732900937
-96.908634,40.045387,448.8688,207.034761201372
-96.921269,40.045149,442.4636,208.111968232284
-96.93199,40.044748,453.164,209.026272143395
-96.943857,40.045236,449.3627341,210.038833803115
-96.955326,40.045153,443.1016,211.015525328369
-96.966942,40.044839,434.0088,212.005325331799
-96.979073,40.045084,422.1599693,213.038349510964
-96.990391,40.045108,422.5924,214.001930865662
-97.002858,40.045023,423,215.063242345986
-97.01238,40.041294,413.9884288,216.011906544154
-97.022827,40.044543,393.2279294,217.013065024877
-97.03249,40.052096,390.5456,218.210881776406
-97.041033,40.056604,388.4433613,219.094052601763
-97.049919,40.06152,388.8615648,220.027505639055
-97.063835,40.070039,391.3344,221.544019220532
-97.068358,40.072778,391.912871,222.034836248804
-97.080382,40.075884,392.227927,223.120451801777
-97.091109,40.078341,389.9724,224.073394105915
-97.102155,40.080871,395.5831696,225.054571582913
-97.113288,40.08461,395.3552,226.091888103399
-97.121958,40.089432,399.7723725,227.009725575589
-97.130763,40.095674,393.4264,228.030892164598
-97.139884,40.102142,394.8712,229.088801066276
-97.14809,40.108194,400.3122016,230.058538253491
-97.153963,40.115456,401.5459789,231.012797323206
-97.160257,40.123478,403.0690442,232.057826934971
-97.16888,40.128932,401.9409664,233.02526002844
-97.171134,40.137236,426.0496,234.065443481632
-97.171063,40.146338,436.1732,235.078135191446
-97.182603,40.14653,433.508,236.082340200193
-97.19399,40.146566,402.8696864,237.050244272598
-97.206327,40.146592,408.8830886,238.098910972934
-97.218597,40.146667,416.001139,239.141869088014
-97.231203,40.146744,432.6273894,240.213400182125
-97.243572,40.146804,437.857623,241.264753026336
-97.253989,40.14687,452.4569872,242.150195121117
-97.269691,40.146924,459.4844,243.484850320862
-97.280081,40.14696,456.2916,244.367990402475
-97.287888,40.146993,459.3968,245.031569627071
-97.300128,40.147047,463.2485274,246.071971055101
-97.312635,40.147096,473.245792,247.135070845046
-97.325539,40.147108,450.7873075,248.231866103423
-97.344131,40.147157,470.1064,249.812132923217
-97.346966,40.147164,469.2096,250.053098965002
-97.359027,40.147205,463.938,251.078253391017
-97.372832,40.147151,470.4015507,252.251649605181
-97.382143,40.147133,459.2852,253.043053801063
-97.396733,40.147089,461.0834715,254.28316809189
-97.406466,40.146393,464.0189085,255.119771148293
-97.416065,40.143204,475.9915104,256.027280826155
-97.429116,40.144288,467.1027277,257.145025613449
-97.439816,40.14697,461.5216,258.10606078285
-97.46354,40.14702,463.272,260.122873298454
-97.482176,40.146963,466.2888845,261.706882765884
-97.486818,40.14696,469.3992,262.101437336251
-97.500882,40.147143,450.9208,263.297001757611
-97.508179,40.1472,462.146752,263.917252747994
-97.513943,40.147204,449.7503789,264.40717188111
-97.522474,40.147219,438.9190858,265.132281408063
-97.532705,40.14724,462.888768,266.001881814406
-97.546604,40.147279,453.2044,267.183269860818
-97.55768,40.147255,457.865536,268.124692256621
-97.568398,40.147242,445,269.035718457996
-97.58144,40.147209,449.0952,270.144803699724
-97.594882,40.14729,462.1504,271.287361693163
-97.604449,40.147227,451.0325179,272.10055142222
-97.623466,40.147185,454.9299984,273.716962042468
-97.632753,40.147141,457.326,274.506338711574
-97.639496,40.147061,462.8922778,275.079538967306
-97.651611,40.148563,458.7996,276.136571653126
-97.661393,40.150649,462.9852,277.005169897031
-97.676414,40.149905,461.4300496,278.284578096647
-97.686706,40.147698,461.5672,279.194364017052
-97.703614,40.146847,476.3508,280.639276703374
-97.708031,40.146867,481.2541541,281.014714051679
-97.7201,40.14696,483.33984,282.040591446762
-97.727069,40.151918,486.0346877,283.175371086293
-97.727044,40.159458,487.3897101,284.013795944814
-97.726995,40.16893,491.818,285.067075476142
-97.726916,40.177577,493.5463853,286.028651096112
-97.726727,40.18687,481.7532,287.062138543926
-97.726698,40.195596,472.2420237,288.032637807441
-97.726719,40.204739,465,289.049342669608
-97.726505,40.214005,464,290.079941958171
-97.726681,40.223158,473.9484,291.0978394867
-97.726823,40.232398,489.6328,292.125361507786
-97.726907,40.240353,482.4949038,293.009969302741
-97.726936,40.25333,488.988,294.45298317727
-97.726961,40.263416,491.279863,295.574498162092
-97.727052,40.277969,491,297.192736892079
-97.727088,40.284055,492,297.869476105988
-97.727076,40.285783,491.6122163,298.06162363533
-97.72707,40.294361,483.9841808,299.015488429384
-97.727006,40.304332,488.9102963,300.124295851859
-97.73637,40.307079,489.4844,301.228140186274
-97.745887,40.307158,481.9553322,302.035290920034
-97.757358,40.307148,480.2672,303.008088315659
-97.768379,40.304229,497.3888,304.022394542279
-97.781736,40.304208,501.1116595,305.155498022061
-97.792439,40.304253,503.2425483,306.063141946296
-97.802889,40.307159,505.309269,307.016882183757
-97.820628,40.307241,504.0676,308.52113854799
-97.839767,40.307274,507.3728,310.14404833073
-97.845765,40.307266,506.7927696,310.65265385346
-97.85008,40.30728,509.436096,311.018553936439
-97.864066,40.307306,503.3968,312.204527505206
-97.876092,40.307236,503.0192,313.224373351189
-97.885579,40.30724,508.0694016,314.028840064149
-97.915757,40.307255,513,316.587849986272
-97.920797,40.307222,515.9990954,317.015236380759
