HR1,HR2,HR3,HR4
-113.185509,42.602901,1336.812853,78.1007067682436
-113.197359,42.602279,1338.884153,79.0730605141279
-113.216289,42.600196,1326.853468,80.6412811129801
-113.220839,42.599567,1321.423199,81.0202112550015
-113.226804,42.59488,1294.0736,82.0922179912212
-113.221848,42.587317,1298.569935,83.0315434809085
-113.219825,42.577704,1299.7344,84.1175400955671
-113.214941,42.571349,1307.9312,85.0052453229611
-113.216858,42.563614,1313.3464,86.012105102639
-113.221845,42.557413,1300.798926,87.0278454827727
-113.227809,42.549913,1302.2008,88.0179483773495
-113.233462,42.542419,1306.625469,89.0116637776065
-113.239417,42.534242,1308.7288,90.0627491502911
-113.247811,42.528015,1309.154938,91.0387767784402
-113.256957,42.521012,1312.9548,92.1205018078612
-113.264833,42.5148,1310.034064,93.0664134923597
-113.275978,42.513551,1323.854701,94.0361907200504
-113.290377,42.515777,1322,95.2420788672204
-113.304316,42.516942,1328.074538,96.3977227357713
-113.31718,42.516993,1329.1748,97.4520617675611
-113.325228,42.517,1330.76416,98.1116699579721
-113.337708,42.517041,1339.087317,99.1345431796849
-113.35121,42.517052,1344.5816,100.241156277768
-113.362224,42.517043,1343.711871,101.143857432758
-113.37449,42.517032,1347.633107,102.149202738266
-113.386123,42.51711,1349.6388,103.102723130641
-113.398343,42.517202,1353,104.104327989623
-113.411059,42.517252,1362.0804,105.146544041162
-113.421324,42.516331,1371.368118,106.013502155416
-113.431195,42.514824,1386.0644,107.075635599407
-113.446964,42.521826,1372.9296,108.584461114925
-113.451608,42.523886,1378.790996,109.028672471459
-113.469552,42.531843,1359,110.74476336645
-113.472879,42.533318,1358,111.062908736566
-113.483493,42.538023,1365.7656,112.077825750589
-113.496976,42.540018,1344.8864,113.239993842595
-113.5075,42.539529,1336,114.103965662094
-113.520119,42.538979,1319.6756,115.139647746239
-113.532179,42.53811,1315.196,116.133740817243
-113.54321,42.535941,1314.884306,117.069269863668
-113.554629,42.533652,1315.861,118.0389067146
-113.565981,42.531207,1310.164583,119.00903840221
-113.576923,42.526539,1298.4596,120.045255035409
-113.589371,42.523772,1294.57394,121.125295216018
-113.601231,42.522734,1291,122.104271290135
-113.615931,42.521227,1284.146688,123.320626860326
-113.624257,42.52044,1280.810083,124.008577692082
-113.637989,42.519478,1280.2396,125.140340920452
-113.648755,42.518111,1276.385793,126.036304565025
-113.661322,42.518051,1277.7756,127.066375537879
-113.672873,42.518046,1277.3428,128.013099291954
-113.684402,42.51576,1277.623539,129.005394195341
-113.699495,42.516354,1273.6924,130.24419908467
-113.709092,42.516729,1276.073919,131.031881722791
-113.723431,42.517262,1272.681498,132.208604047863
-113.733108,42.517725,1275.655872,133.003551759865
-113.745639,42.520246,1279.6996,134.088228882491
-113.754325,42.525415,1277.21242,135.003993893575
-113.763794,42.531432,1266.822984,136.028815224948
-113.772965,42.537153,1264.326,137.117141993449
-113.784174,42.538101,1267.022081,138.042492217543
-113.795945,42.538094,1267.4596,139.006916671328
-113.807986,42.537005,1268.804187,140.009947259757
-113.823008,42.533765,1271.01849,141.292550114636
-113.831512,42.53239,1266.497107,142.007721867753
-113.843899,42.532774,1270.950495,143.02394129812
-113.860419,42.533396,1267.676505,144.379349096045
-113.868852,42.533526,1264.94858,145.070759000404
-113.882332,42.533415,1263,146.175386248725
-113.892608,42.533083,1264.649613,147.020426661009
-113.902194,42.526673,1282.025116,148.089961630892
-113.911853,42.519327,1294.706414,149.227425159707
-113.918491,42.514278,1320.6308,150.009564903524
-113.929401,42.505989,1333,151.293795632573
-113.93648,42.500631,1333.854515,152.125556757761
-113.94576,42.493553,1330.791229,153.220364690277
-113.953326,42.489267,1328.0528,154.018252725253
-113.965887,42.489272,1324.4276,155.048316693524
-113.978816,42.489314,1309,156.108452198159
-113.990461,42.489345,1311.423463,157.063327861003
-114.003541,42.489414,1298.724,158.135920497969
-114.015876,42.486534,1307,159.23697790589
-114.023969,42.482301,1305.9952,160.050666581215
-114.033714,42.477217,1303.011836,161.029583080829
-114.049849,42.474986,1290.023003,162.419642813117
-114.058386,42.475002,1285.0144,163.119802809126
-114.069348,42.474996,1282.3278,164.018914320896
-114.088078,42.475042,1275.941817,165.55505425383
-114.093649,42.475035,1273.754786,166.011957895308
-114.107292,42.47502,1272.053914,167.130884303441
-114.118032,42.475031,1264.1116,168.011790690918
-114.130532,42.47504,1262.204378,169.036981900201
-114.142388,42.475104,1250.626642,170.009388107183
-114.155933,42.475173,1252.264,171.120308320029
-114.170378,42.475104,1250.864916,172.305095332967
-114.179088,42.475539,1258.983121,173.027092092668
-114.186138,42.483584,1265.0976,174.114377638961
-114.192137,42.492803,1273.9092,175.251412799532
-114.196671,42.499988,1282,176.132672355371
-114.202075,42.508234,1272.698072,177.15107263784
-114.20726,42.516219,1267.528422,178.135533494061
-114.212271,42.523962,1275.344218,179.089508039606
-114.217317,42.53154,1272,180.028780894545
-114.229868,42.533126,1258.101089,181.113400115519
-114.243764,42.533184,1255.5504,182.252045991365
-114.2534,42.533183,1246.411312,183.041626681238
-114.265806,42.533177,1244.5356,184.058160159868
-114.279681,42.533193,1238,185.195097087154
-114.289739,42.53322,1231.592,186.019287494379
-114.302258,42.533301,1221.2328,187.045239167276
-114.314052,42.533367,1218.192369,188.011713733106
-114.327358,42.533438,1205.68142,189.102219587586
