FR1,FR2,FR3,FR4
-109.168418,42.237105,2102.823826,95.5483040733857
-109.170862,42.23594,2105.4872,95.7876042721259
-109.175174,42.233907,2110.585559,96.2084690260747
-109.196259,42.223925,2101.406812,98.2690719536392
-109.197868,42.223123,2100,98.4287790659512
-109.222976,42.211236,2088.7136,100.882831618942
-109.226302,42.209612,2087.538638,101.210927422517
-109.243174,42.201617,2081,102.860640633729
-109.250679,42.198044,2076.504487,103.595513652466
-109.259451,42.193862,2075,104.454834842201
-109.263679,42.191862,2074.286524,104.868091255085
-109.267676,42.189942,2075.865096,105.260538808556
-109.280401,42.183876,2067.979417,106.507195255127
-109.292452,42.178143,2060.1728,107.68719458631
-109.302605,42.173314,2064.4828,108.681341855961
-109.31998,42.165023,2062.8452,110.384394219549
-109.326015,42.162165,2072.206,110.974658651471
-109.328638,42.160887,2078.1936,111.233378389555
-109.345173,42.155111,2043.505529,112.742231671172
-109.348452,42.154054,2038.805128,113.037008828926
-109.364029,42.149071,2031.32,114.435568675659
-109.370195,42.146835,2030.872588,115.002425853756
-109.385629,42.138316,2026,116.588870024982
-109.390169,42.135796,2022.526,117.056476532897
-109.401144,42.131592,2021.7312,118.077804350443
-109.411417,42.127058,2018.877429,119.069079241862
-109.420392,42.121748,2014.120399,120.01597557349
-109.432224,42.116256,2015.9936,121.167243898894
-109.441012,42.112209,2013.6432,122.020449113277
-109.451811,42.108142,2007.027001,123.029727467939
-109.461357,42.103321,2010.154103,124.01019423744
-109.467,42.095282,2007.22736,125.018140852618
-109.472946,42.08674,2010.528,126.087207331003
-109.47943,42.078612,2006.996966,127.141010765645
-109.488906,42.074206,2002.088723,128.074760701899
-109.504025,42.073502,2006.200328,129.330086945168
-109.515511,42.073459,2003.46767,130.278135591692
-109.524262,42.071285,2013.7172,131.054393375784
-109.532325,42.065245,2010.882,132.000505280643
-109.541087,42.058501,2006.6036,133.042408301608
-109.549569,42.052466,2008.484084,134.014413917737
-109.561273,42.0432,2013.216944,135.43478460278
-109.565989,42.038305,2008.401239,136.104765800736
-109.571414,42.031131,2005.934873,137.019730900295
-109.580399,42.024524,2018,138.069308690835
-109.589024,42.019057,2005.8156,139.005899813354
-109.597133,42.012009,2001.6788,140.04051058163
