CR1,CR2,CR3,CR4
-103.205171,41.670811,1135.6884,413.057227041322
-103.216073,41.6744,1157.701952,414.02073830181
-103.227289,41.67855,1159.3196,415.02145484065
-103.23924,41.682954,1149.2688,416.087483480156
-103.250478,41.68713,1148.2832,417.090726080405
-103.271593,41.697007,1136.980277,419.018263273521
-103.272608,41.697484,1139.6112,419.110988909379
-103.292092,41.706631,1141.528994,420.891159650663
-103.295937,41.708434,1140.2644,421.242507008863
-103.307483,41.712247,1141,422.26391401206
-103.318311,41.714769,1138.484061,423.19957928273
-103.327715,41.717213,1142.774,424.017535431007
-103.339124,41.720464,1146.6704,425.015922287172
-103.35557,41.724766,1145.948,426.446947040331
-103.365123,41.72726,1148.382579,427.278071025382
-103.373486,41.729445,1148.998901,428.005691177564
-103.386842,41.733324,1147.3688,429.175990467473
-103.396577,41.736616,1154.042,430.03890442381
-103.407439,41.740299,1154.940377,431.001966587039
-103.421,41.744301,1154.20656,432.191635388093
-103.431841,41.74853,1154.736341,433.164759985025
-103.44155,41.751807,1154.42,434.025385454314
-103.453031,41.755928,1158,435.048419150036
-103.463758,41.761509,1157.4324,436.041720815947
-103.47418,41.766941,1160,437.007281886106
-103.485075,41.772309,1161.6876,438.010196778692
-103.498464,41.777052,1160.711739,439.202451972901
-103.508358,41.780551,1164.912656,440.083405943225
-103.518996,41.784304,1166.299441,441.030450050259
-103.530947,41.788544,1166.2416,442.094960866378
-103.543951,41.793032,1169.374239,443.250561846662
-103.553351,41.796351,1176.1364,444.08758089734
-103.56619,41.800635,1173,445.225359241465
-103.576015,41.803674,1172.148066,446.090759237788
-103.58673,41.807001,1176,447.034841436453
-103.598853,41.81076,1181.640909,448.102875082975
-103.609363,41.813906,1182.0616,449.026298814026
-103.620647,41.81743,1184.091842,450.020990155554
-103.632504,41.821179,1183,451.067230360707
-103.645082,41.821737,1186.107489,452.100767818463
-103.657464,41.821613,1190.895439,453.103296721792
-103.669566,41.821503,1203,454.083536887478
-103.681203,41.821425,1218.417796,455.026848953252
-103.69322,41.822696,1238.585485,456.03087223737
-103.704508,41.826383,1252.2288,457.028984438685
-103.707654,41.828383,1256,457.328671359293
